id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
1784,2005-02-04 02:31:49.87,34.07,-97.682,5,,,,,JEFFERSON,OGS,1.9,M3Hz,OGS,,,,,,1.9,1.7,,,,,,,0101000020E6100000CFF753E3A56B58C0295C8FC2F5084140,,
1785,2005-02-06 15:59:14.48,34.238,-95.238,5,,,,,PUSHMATAHA,OGS,3.2,M3Hz,OGS,,,3.5,,,3.2,,,,,,,,0101000020E6100000AC1C5A643BCF57C05839B4C8761E4140,,
1786,2005-02-12 08:45:50.56,36.504,-98.676,5,,,,,WOODS,OGS,2.4,M3Hz,OGS,,,2.5,,,2.4,2.6,,,,,,,0101000020E61000002506819543AB58C08D976E1283404240,,
1787,2005-04-22 05:17:04.09,34.179,-95.192,5,,,,,PUSHMATAHA,OGS,3.1,M3Hz,OGS,,,3,,,3.1,2.9,,,,5,,,0101000020E61000003F355EBA49CC57C0F4FDD478E9164140,,
1788,2005-05-16 22:29:47.61,35.325,-97.531,5,,,,,CLEVELAND,OGS,2.8,mbLg,OGS,,,2.8,,,,,,,,5,,,0101000020E6100000448B6CE7FB6158C09A99999999A94140,,
1789,2005-05-19 01:02:43.58,34.32,-98.069,5,,,,,STEPHENS,OGS,2.5,mbLg,OGS,,,2.5,,,,,,,,,,,0101000020E610000023DBF97E6A8458C0295C8FC2F5284140,,
1790,2005-07-25 13:09:09.01,34.685,-96.818,5,,,,,PONTOTOC,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E61000003108AC1C5A3458C048E17A14AE574140,,
1791,2005-08-21 05:55:20.59,36.808,-98.765,5,,,,,WOODS,OGS,2.7,Md,OGS,,,,,,,2.7,,,,,,,0101000020E6100000295C8FC2F5B058C08195438B6C674240,,
1792,2005-08-25 06:57:01.63,33.946,-96.171,5,,,,,BRYAN,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E61000006DE7FBA9F10A58C00C022B8716F94040,,
1793,2005-09-29 01:20:55.12,35.28,-95.986,5,,,,,HUGHES,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E6100000C976BE9F1AFF57C0A4703D0AD7A34140,,
1794,2005-10-22 07:29:58.6,34.981,-97.496,5,,,,,MCCLAIN,OGS,1.3,Md,OGS,,,,,,,1.3,,,,,,,0101000020E610000039B4C876BE5F58C021B07268917D4140,,
1795,2005-10-22 07:50:39.9,35.003,-97.484,5,,,,,MCCLAIN,OGS,1.6,Md,OGS,,,,,,,1.6,,,,,,,0101000020E6100000E5D022DBF95E58C0AAF1D24D62804140,,
1796,2005-10-26 02:42:04.28,34.795,-97.468,5,,,,,GARVIN,OGS,1.6,Md,OGS,,,,,,,1.6,,,,,,,0101000020E6100000CBA145B6F35D58C0F6285C8FC2654140,,
1797,2005-10-28 09:42:29.73,36.733,-97.899,5,,,,,GRANT,OGS,2.3,Md,OGS,,,,,,,2.3,,,,,,,0101000020E6100000A8C64B37897958C0E7FBA9F1D25D4240,,
1798,2005-11-01 05:51:10.04,34.729,-96.108,5,,,,,COAL,OGS,1.3,Md,OGS,,,,,,,1.3,,,,,,,0101000020E6100000F4FDD478E90658C05A643BDF4F5D4140,,
1799,2005-11-28 09:25:25.71,34.643,-96.098,5,,,,,COAL,OGS,1.8,Md,OGS,,,,,,,1.8,,,,,,,0101000020E610000083C0CAA1450658C0FCA9F1D24D524140,,
1800,2005-11-30 14:27:44.81,34.681,-96.067,5,,,,,PITTSBURG,OGS,1.6,Md,OGS,,,,,,,1.6,,,,,,,0101000020E61000003F355EBA490458C0BA490C022B574140,,
1801,2005-12-05 11:37:58.68,34.562,-95.024,5,,,,,PUSHMATAHA,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E6100000A8C64B3789C157C00E2DB29DEF474140,,
1802,2005-12-08 21:57:17.66,36.462,-97.297,5,,,,,NOBLE,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E61000005EBA490C025358C04260E5D0223B4240,,
1803,2005-12-13 07:11:36.4,34.687,-95.904,5,,,,,PITTSBURG,OGS,1.9,Md,OGS,,,,,,,1.9,,,,,,,0101000020E610000060E5D022DBF957C00E2DB29DEF574140,,
1804,2005-12-18 06:19:07.35,34.279,-96.478,5,,,,,JOHNSTON,OGS,2.2,Md,OGS,,,,,,,2.2,,,,,,,0101000020E61000003BDF4F8D971E58C0C1CAA145B6234140,,
